state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
New Mexico,2014,"$11,909 ",$728 ,"$1,454 ",$379 ,$619 ,$98 ,$0 ,$42 
New York,2014,"$18,170 ","$2,548 ","$1,373 ",$659 ,"$2,746 ",$577 ,$62 ,$119 
North Carolina,2014,"$9,738 ",$957 ,$829 ,$459 ,"$1,052 ",$138 ,$2 ,$86 
North Dakota,2014,"$16,598 ","$1,096 ","$2,046 ",$741 ,$670 ,$336 ,$0 ,$69 
Ohio,2014,"$11,405 ","$1,199 ","$1,053 ",$482 ,"$1,123 ",$20 ,$17 ,$94 
Oklahoma,2014,"$9,789 ",$624 ,"$1,190 ",$385 ,$765 ,$103 ,$0 ,$36 
Oregon,2014,"$12,848 ","$1,355 ",$0 ,$476 ,"$1,677 ",$140 ,$22 ,$142 
Pennsylvania,2014,"$10,432 ","$1,390 ",$783 ,$658 ,"$1,212 ",$214 ,$66 ,$162 
Rhode Island,2014,"$11,808 ","$2,269 ",$845 ,$604 ,"$1,034 ",$128 ,$38 ,$173 
South Carolina,2014,"$9,945 ","$1,087 ",$793 ,$328 ,$721 ,$76 ,$0 ,$56 
South Dakota,2014,"$10,402 ","$1,309 ","$1,480 ",$487 ,$0 ,$29 ,$0 ,$31 
Tennessee,2014,"$9,145 ",$837 ,"$1,254 ",$470 ,$36 ,$179 ,$16 ,$67 
Texas,2014,"$9,407 ","$1,639 ","$1,458 ",$569 ,$0 ,$0 ,$0 ,$39 
Utah,2014,"$9,572 ",$970 ,$851 ,$405 ,$979 ,$104 ,$0 ,$43 
Vermont,2014,"$12,211 ","$2,377 ",$576 ,"$1,056 ","$1,065 ",$167 ,$56 ,$109 
Virginia,2014,"$9,727 ","$1,456 ",$583 ,$466 ,"$1,305 ",$89 ,$0 ,$39 
Washington,2014,"$12,212 ","$1,367 ","$2,090 ",$682 ,$0 ,$0 ,$22 ,$145 
